"gisjoin","pop","hisp","black","white","amind","asian","pacis","urm","schid","schname","dist","BLACKHISP_PCT"
"G13008900214112002",92,0.065217,0,0.923913,0,0,0,0.065217,130174000729,"Ashford Park Elementary School",-0.976904,6.5217
"G13008900214101014",106,0.04717,0.141509,0.792453,0,0.018868,0,0.188679,130174004260,"John Robert Lewis Elementary School",0.826276,18.8679
"G13008900214101011",54,0.148148,0.037037,0.648148,0,0.111111,0,0.185185,130174004260,"John Robert Lewis Elementary School",0.833183,18.5185
"G13008900214101010",65,0.030769,0.138461,0.8,0,0.015385,0,0.169231,130174004260,"John Robert Lewis Elementary School",0.831081,16.923
"G13008900214122013",102,0.284314,0.04902,0.617647,0,0.04902,0,0.333333,130174004260,"John Robert Lewis Elementary School",0.090759,33.3334
"G13008900214122009",1,0,0,1,0,0,0,0,130174000729,"Ashford Park Elementary School",-0.090934,0
"G13008900214122008",130,0.092308,0.130769,0.7,0,0.061539,0,0.223077,130174000729,"Ashford Park Elementary School",-0.18826,22.3077
"G13008900214112007",42,0.02381,0,0.952381,0,0.02381,0,0.02381,130174000729,"Ashford Park Elementary School",-0.864441,2.381
"G13008900214122017",36,0.75,0,0.25,0,0,0,0.75,130174004260,"John Robert Lewis Elementary School",0.300108,75
"G13008900214122012",62,0.016129,0.129032,0.741935,0,0.080645,0,0.145161,130174000729,"Ashford Park Elementary School",-0.083996,14.5161
"G13008900214052021",23,0.043478,0.043478,0.913044,0,0,0,0.086957,130174000729,"Ashford Park Elementary School",-0.474949,8.6956
"G13008900214122010",20,0,0,1,0,0,0,0,130174000729,"Ashford Park Elementary School",-0.182604,0
"G13008900214123012",28,0.392857,0,0.607143,0,0,0,0.392857,130174000729,"Ashford Park Elementary School",-0.468845,39.2857
"G13008900214122011",29,0.137931,0.206897,0.37931,0.068965,0.172414,0,0.344828,130174000729,"Ashford Park Elementary School",-0.07853,34.4828
"G13008900214122007",198,0.444444,0.055556,0.29798,0.015152,0.156566,0,0.5,130174000729,"Ashford Park Elementary School",-0.339035,50
"G13008900214112000",129,0.046512,0,0.914729,0,0.015504,0,0.046512,130174000729,"Ashford Park Elementary School",-1.100417,4.6512
"G13008900214122003",61,0.016393,0.065574,0.918033,0,0,0,0.081967,130174000729,"Ashford Park Elementary School",-0.460821,8.1967
"G13008900214123007",280,0.057143,0.028571,0.871429,0,0.021429,0,0.085714,130174000729,"Ashford Park Elementary School",-0.871338,8.5714
"G13008900214103000",379,0.063325,0.036939,0.828496,0.002638,0.026385,0,0.100264,130174004260,"John Robert Lewis Elementary School",1.169542,10.0264
"G13008900214122004",46,0.108696,0,0.869565,0,0.021739,0,0.108696,130174000729,"Ashford Park Elementary School",-0.419812,10.8696
"G13008900214101008",78,0.384615,0.051282,0.423077,0,0.141026,0,0.435897,130174004260,"John Robert Lewis Elementary School",0.6685,43.5897
"G13008900214122006",56,0.357143,0.053571,0.517857,0,0.017857,0,0.410714,130174000729,"Ashford Park Elementary School",-0.43594,41.0714
"G13008900214122001",53,0.150943,0,0.735849,0.018868,0,0,0.150943,130174000729,"Ashford Park Elementary School",-0.604867,15.0943
"G13008900214122000",150,0.04,0.046667,0.893333,0,0.02,0,0.086667,130174000729,"Ashford Park Elementary School",-0.687041,8.6667
"G13008900214101004",829,0.738239,0.104946,0.09047,0.001206,0.053076,0,0.843185,130174004260,"John Robert Lewis Elementary School",0.517507,84.3185
"G13008900212043019",3,0,0,1,0,0,0,0,130174000729,"Ashford Park Elementary School",-0.325569,0
"G13008900214101003",70,0.142857,0.042857,0.771429,0,0.014286,0.028571,0.185714,130174004260,"John Robert Lewis Elementary School",0.6294,18.5714
